Year,Ocean,Land
188001,0.03,-0.16
188002,-0.04,-0.55
188003,-0.01,-0.72
188004,0.01,-0.28
188005,-0.05,-0.2
188006,-0.15,-0.29
188007,-0.11,-0.33
188008,-0.02,-0.31
188009,-0.01,-0.37
188010,-0.07,-0.61
188011,-0.1,-0.94
188012,0.01,-0.56
188101,0.07,-0.41
188102,0.07,-0.49
188103,0.09,-0.3
188104,0.1,-0.13
188105,0.04,-0.05
188106,0.03,-0.55
188107,0.04,-0.35
188108,-0.03,-0.15
188109,-0.06,-0.56
188110,-0.08,-0.74
188111,-0.03,-0.9
188112,0.01,-0.36
188201,0.09,0.01
188202,0.08,-0.22
188203,0.07,0.01
188204,0.01,-0.69
188205,-0.06,-0.5
188206,-0.04,-0.53
188207,0.05,-0.53
188208,0,-0.05
188209,0.05,-0.16
188210,-0.04,-0.83
188211,-0.05,-0.4
188212,-0.05,-0.67
188301,-0.01,-1.23
188302,0.01,-1.37
188303,-0.04,-0.54
188304,-0.06,-0.6
188305,-0.06,-0.46
188306,0,-0.06
188307,-0.02,-0.34
188308,0.01,-0.28
188309,-0.06,-0.47
188310,-0.06,-0.55
188311,-0.03,-0.69
188312,-0.06,-0.23
188401,-0.13,-0.41
188402,-0.01,-0.71
188403,-0.04,-0.88
188404,-0.06,-0.72
188405,-0.05,-0.49
188406,-0.14,-0.44
188407,-0.2,-0.66
188408,-0.17,-0.66
188409,-0.12,-0.61
188410,-0.1,-0.43
188411,-0.17,-0.67
188412,-0.13,-0.3
188501,-0.2,-1.32
188502,-0.14,-0.77
188503,-0.13,-0.31
188504,-0.19,-0.55
188505,-0.22,-0.57
188506,-0.24,-0.59
188507,-0.17,-0.49
188508,-0.15,-0.59
188509,-0.15,-0.36
188510,-0.08,-0.3
188511,-0.11,-0.19
188512,-0.03,0.27
188601,-0.04,-0.41
188602,-0.12,-0.96
188603,-0.16,-0.79
188604,-0.13,-0.32
188605,-0.11,-0.36
188606,-0.18,-0.5
188607,-0.15,-0.19
188608,-0.2,-0.25
188609,-0.16,-0.3
188610,-0.13,-0.57
188611,-0.08,-0.57
188612,-0.22,-0.01
188701,-0.23,-1.01
188702,-0.26,-0.85
188703,-0.16,-0.23
188704,-0.18,-0.28
188705,-0.26,-0.15
188706,-0.16,-0.41
188707,-0.23,-0.37
188708,-0.22,-0.6
188709,-0.19,-0.12
188710,-0.2,-0.56
188711,-0.17,-0.09
188712,-0.2,-0.2
188801,-0.22,-0.96
188802,-0.2,-0.8
188803,-0.19,-0.73
188804,-0.18,-0.21
188805,-0.08,-0.42
188806,-0.04,-0.28
188807,-0.08,-0.22
188808,-0.07,-0.48
188809,-0.01,-0.23
188810,0.09,-0.21
188811,0.08,-0.43
188812,0.1,-0.19
188901,0.09,-0.74
188902,0.05,-0.13
188903,0.09,0.17
188904,-0.01,0.23
188905,0.02,-0.19
188906,-0.04,-0.14
188907,-0.12,-0.29
188908,-0.12,-0.18
188909,-0.17,-0.38
188910,-0.11,-0.42
188911,-0.07,-0.86
188912,-0.12,-0.39
189001,-0.23,-0.8
189002,-0.28,-0.85
189003,-0.24,-0.51
189004,-0.27,-0.24
189005,-0.3,-0.65
189006,-0.27,-0.31
189007,-0.31,-0.16
189008,-0.32,-0.33
189009,-0.36,-0.31
189010,-0.32,-0.21
189011,-0.22,-0.68
189012,-0.19,-0.36
189101,-0.23,-0.81
189102,-0.21,-1.34
189103,-0.13,-0.38
189104,-0.12,-0.56
189105,-0.06,-0.36
189106,-0.09,-0.5
189107,-0.14,-0.41
189108,-0.16,-0.39
189109,-0.13,-0.17
189110,-0.16,-0.57
189111,-0.22,-0.86
189112,-0.11,0.14
189201,-0.08,-0.64
189202,-0.07,-0.31
189203,-0.15,-0.78
189204,-0.18,-0.65
189205,-0.23,-0.45
189206,-0.28,-0.26
189207,-0.35,-0.32
189208,-0.35,-0.27
189209,-0.26,-0.08
189210,-0.29,-0.1
189211,-0.26,-0.99
189212,-0.3,-0.89
189301,-0.19,-1.96
189302,-0.25,-1.62
189303,-0.23,-0.19
189304,-0.31,-0.42
189305,-0.24,-0.58
189306,-0.22,-0.26
189307,-0.21,-0.12
189308,-0.28,-0.39
189309,-0.25,-0.24
189310,-0.2,-0.19
189311,-0.19,-0.04
189312,-0.24,-0.23
189401,-0.29,-0.81
189402,-0.28,-0.04
189403,-0.29,0.04
189404,-0.25,-0.44
189405,-0.33,-0.22
189406,-0.32,-0.44
189407,-0.26,-0.26
189408,-0.25,-0.28
189409,-0.2,-0.37
189410,-0.18,-0.27
189411,-0.2,-0.51
